"","Species","GS","lat","long"
"143","Chymomyza_amoena",395.2,43.882784,-78.885322
"144","Chymomyza_amoena",395.2,35.7469,-83.6494
"145","Chymomyza_amoena",395.2,40.392874,-80.198028
"146","Chymomyza_amoena",395.2,40.706706,-81.669948
"147","Chymomyza_amoena",395.2,41.787347,-91.571059
"148","Chymomyza_amoena",395.2,34.204114,-118.166333
"149","Chymomyza_amoena",395.2,41.222265,-75.99031
"150","Chymomyza_amoena",395.2,42.682673,-83.056533
"151","Chymomyza_amoena",395.2,40.752498,-74.000074
"152","Chymomyza_amoena",395.2,41.21849,-75.84196
"153","Chymomyza_amoena",395.2,49.879249,-97.12508
"154","Chymomyza_amoena",395.2,42.435763,-76.490472
"155","Chymomyza_amoena",395.2,44.572517,-73.570619
"156","Chymomyza_amoena",395.2,41.086956,-73.636121
"157","Chymomyza_amoena",395.2,41.308672,-111.930037
"158","Chymomyza_amoena",395.2,43.187876,-79.571429
"159","Chymomyza_amoena",395.2,49.878911,-97.124268
"160","Chymomyza_amoena",395.2,45.357353,-80.022391
"161","Chymomyza_amoena",395.2,43.695775,-79.310261
"162","Chymomyza_amoena",395.2,45.357342,-80.022393
"163","Chymomyza_amoena",395.2,43.839262,-72.381591
"164","Chymomyza_amoena",395.2,49.878879,-97.123956
"165","Chymomyza_amoena",395.2,45.357354,-80.022399
"166","Chymomyza_amoena",395.2,39.502853,-79.39135
"167","Chymomyza_amoena",395.2,39.528779,-79.211881
"168","Chymomyza_amoena",395.2,36.221578,-81.776515
"169","Chymomyza_amoena",395.2,49.879523,-97.124858
"170","Chymomyza_amoena",395.2,40.480607,-90.695642
"171","Chymomyza_amoena",395.2,42.6042,-71.61682
"172","Chymomyza_amoena",395.2,50.127919,-96.831957
"173","Chymomyza_amoena",395.2,37.60891,-77.628543
"174","Chymomyza_amoena",395.2,40.436758,-87.039857
"175","Chymomyza_amoena",395.2,40.481138,-75.001219
"176","Chymomyza_amoena",395.2,38.860523,-77.325394
"177","Chymomyza_amoena",395.2,38.860599,-77.325218
"178","Chymomyza_amoena",395.2,46.937955,-70.874203
"179","Chymomyza_amoena",395.2,51.6,5.05
"180","Chymomyza_amoena",395.2,52.1,5.25
"181","Chymomyza_amoena",395.2,52.4,5.85
"182","Chymomyza_amoena",395.2,52.75,6.85
"183","Chymomyza_amoena",395.2,52.9,6.8
"184","Chymomyza_amoena",395.2,52.270988,10.532155
"185","Chymomyza_amoena",395.2,39.169328,-77.078356
"186","Chymomyza_amoena",395.2,40.663875,-73.962112
"187","Chymomyza_amoena",395.2,40.179017,-79.103792
"188","Chymomyza_amoena",395.2,45.344692,-75.824233
"189","Chymomyza_amoena",395.2,38.463937,-90.290578
"190","Chymomyza_amoena",395.2,43.584198,-79.697983
"191","Chymomyza_amoena",395.2,40.810676,-72.895436
"192","Chymomyza_amoena",395.2,46.764862,-84.963092
"193","Chymomyza_amoena",395.2,41.693848,-71.702927
"194","Chymomyza_amoena",395.2,33.494551,-82.039637
"195","Chymomyza_amoena",395.2,40.036558,-75.338746
"196","Chymomyza_amoena",395.2,30.837422,-97.305222
"197","Chymomyza_amoena",395.2,33.807792,-84.402833
"198","Chymomyza_amoena",395.2,35.488945,-92.108003
"199","Chymomyza_amoena",395.2,38.321523,-77.560497
"200","Chymomyza_amoena",395.2,33.035321,-96.728032
"201","Chymomyza_amoena",395.2,40.040504,-75.872671
"202","Chymomyza_amoena",395.2,33.035321,-96.728032
"203","Chymomyza_amoena",395.2,39.205751,-74.868959
"204","Chymomyza_amoena",395.2,40.558319,-79.987918
"205","Chymomyza_amoena",395.2,43.486627,-80.563836
"206","Chymomyza_amoena",395.2,40.578744,-79.958178
"207","Chymomyza_amoena",395.2,39.341822,-9.201623
"208","Chymomyza_amoena",395.2,33.035321,-96.728032
