"","Species","Africa","Americas","Antarctica","Asia","Europe","Oceania"
"114","Drosophila_rufa",3764932.95289577,4058313.32457565,474.772716432159,2338874.24167248,1056669.16459478,1143205.83584275
"115","Drosophila_santomea",341.327273899755,3054.14477626323,0,45708.1237256471,0,12217.6344363468
"116","Drosophila_sechellia",0,0,0,0,0,0
"118","Drosophila_serrata",2383207.70713117,1950254.93691034,0,989357.557130761,10130.3610078573,293792.881971976
"119","Drosophila_simulans",1388533.02470899,1686648.15208924,0,743583.067814125,70546.9011778716,410960.986963655
"120","Drosophila_sordidula",900559.860839499,3351145.38979408,9259.79123454385,1300839.82530436,3033142.74753395,718184.964886756
"123","Drosophila_suzukii",1961549.48819221,3506670.32171253,5645.54187988722,1798079.59318588,1773593.57908889,916034.695083473
"126","Drosophila_teissieri",1614340.96884272,957006.784027638,0,959290.541739585,0,232439.603857738
"128","Drosophila_triauraria",2172496.07923647,4141516.43943263,7215.43464071349,2170328.51339955,2481391.94251422,980196.730115428
"129","Drosophila_tripunctata",6837472.29608423,6979416.64246641,3623.57330192987,3986069.51893202,1732040.82019433,1570211.6140478
"131","Drosophila_varians",770977.464866705,2839491.29380495,0,1722746.79703419,0,277461.054890966
"132","Drosophila_virilis",1826781.80815676,3440619.98406843,5871.20694907042,1734717.2485968,1831440.66973235,893353.598150565
"133","Drosophila_vulcana",1155492.53485138,871646.377732489,0,700866.158561032,2685.27394746041,206125.383979985
"134","Drosophila_yakuba",2147318.97825502,1585394.69903309,0,1252814.10065413,0,254240.500920467
"143","Zaprionus_bogoriensis",4892214.94494876,6677767.64281735,0,2722090.3658149,0,502594.956806638
"144","Zaprionus_ghesquierei",2529048.2087269,2459228.80565334,0,1548805.55113303,0,275925.005105159
"145","Zaprionus_indianus",4497589.80213233,3860381.48264397,0,1744293.91454467,6766.80657941306,401052.410004735
"147","Zaprionus_kolodkinae",7378350.8222118,10755104.6001053,0,3473268.21568161,4447.12437820229,616724.2512685
"149","Zaprionus_sepsoides",3350084.82342836,4805447.95901265,0,2310121.75254785,0,414083.743813814
"150","Zaprionus_taronus",1203931.38582747,889930.121007517,0,728362.896684621,2114.19472527753,209797.68111887
"151","Zaprionus_tsacasi",1746993.72964594,2232421.31818005,0,1526454.29892602,0,245429.407272781
"152","Zaprionus_tuberculatus",1877436.19383228,1141768.52952399,0,945972.542025522,300.6998996726,256117.121819578
