"","species","lat","long","ref","gbifID","key"
"97","Drosophila suzukii","51.584717","-3.038822",NA,"4866818311","12934e15-749a-4df4-ab89-211c10573525"
"98","Drosophila suzukii","51.8664","0.36337",NA,"4594390142","12934e15-749a-4df4-ab89-211c10573525"
"99","Drosophila suzukii","52.35","4.9",NA,"4886005552","8a863029-f435-446a-821e-275f4f641165"
"100","Drosophila suzukii","52.35","4.9",NA,"4883181814","8a863029-f435-446a-821e-275f4f641165"
"101","Drosophila suzukii","52.605712","-1.113236",NA,"4596115536","5e43a220-a91d-485b-b608-58fd22693be7"
"102","Drosophila suzukii","51.925649","0.697756",NA,"4594387566","12934e15-749a-4df4-ab89-211c10573525"
"103",NA,"60.170622","24.938764",NA,"4524768591","df12ca07-f133-4550-ab3b-fde13f0e76ba"
"104","Drosophila melanogaster","61.280669","24.040864",NA,"4846497547","df12ca07-f133-4550-ab3b-fde13f0e76ba"
"105","Drosophila hydei","44.824715","-0.5819","https://www.inaturalist.org/observations/200991187","4952257572","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"106","Drosophila suzukii","43.203384","5.510025","https://www.inaturalist.org/observations/201024769","4606625452","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"107","Drosophila suzukii","51.454055","-0.327495","https://www.inaturalist.org/observations/201062070","4891656917","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"108","Drosophila immigrans","48.480369","-2.694011","https://www.inaturalist.org/observations/201132298","4606672733","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"109","Drosophila immigrans","48.480369","-2.694011","https://www.inaturalist.org/observations/201135320","4606662008","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"110","Drosophila melanogaster","53.084567","8.82192","https://www.inaturalist.org/observations/201295611","4606627502","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"111","Drosophila suzukii","51.433853","-0.324897","https://www.inaturalist.org/observations/201296198","4891964090","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"112","Drosophila busckii","38.543003","-121.747658","https://www.inaturalist.org/observations/201624768","4945996439","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"113","Drosophila hydei","29.513195","-98.680922","https://www.inaturalist.org/observations/201850406","4606578756","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"114","Drosophila immigrans","30.387468","-91.12412","https://www.inaturalist.org/observations/202120995","4606621746","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"115",NA,"51.065069","17.082713","https://www.inaturalist.org/observations/202292680","4921669350","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"116","Drosophila immigrans","36.621544","-121.914087","https://www.inaturalist.org/observations/202493817","4606841478","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"117","Drosophila busckii","27.039393","88.265685","https://www.inaturalist.org/observations/202922170","4945999412","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"118","Drosophila hydei","45.337198","-73.279876","https://www.inaturalist.org/observations/202963622","4597515499","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"119","Drosophila busckii","27.039393","88.265685","https://www.inaturalist.org/observations/203191284","4606578913","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"120","Drosophila melanogaster","39.895572","32.780019","https://www.inaturalist.org/observations/203451698","4606578970","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"121","Drosophila simulans","31.86435","-116.66777","https://www.inaturalist.org/observations/203514047","4946553271","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"122","Drosophila immigrans","33.086663","-117.065856","https://www.inaturalist.org/observations/203840641","4606673149","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"123","Drosophila busckii","40.829545","-124.039528","https://www.inaturalist.org/observations/203947736","4600123843","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"124","Drosophila busckii","27.993273","-82.705149","https://www.inaturalist.org/observations/203959621","4607217096","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"125","Drosophila suzukii","30.511087","-116.012297","https://www.inaturalist.org/observations/204045049","4599996198","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"126","Drosophila immigrans","42.0396","11.83477","https://www.inaturalist.org/observations/204391421","4606951691","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"127","Drosophila immigrans","52.531929","-1.377173","https://www.inaturalist.org/observations/204392612","4607274078","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"128","Drosophila immigrans","42.0396","11.83477","https://www.inaturalist.org/observations/204392893","4606696223","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"129","Drosophila hydei","38.860595","-77.325175","https://www.inaturalist.org/observations/204395498","4606742820","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"130","Drosophila immigrans","37.247952","-121.936472","https://www.inaturalist.org/observations/204864649","4606830074","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"131","Drosophila immigrans","-37.167584","174.98455","https://www.inaturalist.org/observations/205186684","4607603828","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"132","Drosophila tripunctata","38.973479","-77.047187","https://www.inaturalist.org/observations/206008352","4607148998","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"133","Drosophila melanogaster","-19.883067","-44.417631","https://www.inaturalist.org/observations/231653504","4919741520","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"134","Drosophila suzukii","53.932311","-0.783781",NA,"4866822630","12934e15-749a-4df4-ab89-211c10573525"
"135","Drosophila suzukii","52.58156","-0.23526",NA,"4866822702","12934e15-749a-4df4-ab89-211c10573525"
"136","Drosophila immigrans","52.531929","-1.377173",NA,"4866818783","12934e15-749a-4df4-ab89-211c10573525"
"137","Drosophila suzukii","51.433853","-0.324897",NA,"4948751250","12934e15-749a-4df4-ab89-211c10573525"
"138","Drosophila transversa","60.288483","24.826151",NA,"4606000361","df12ca07-f133-4550-ab3b-fde13f0e76ba"
"139",NA,"37.87727","-122.2836","http://essigdb.berkeley.edu/cgi/eme_query?bnhm_id=EMEC1446728&one=T","4856209729","5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
